File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,#utterances,#turns,#words,words/turns,utterances/turns,words/utterances,Standard deviation,File_ID,Age_Month_approx
pair_sli413_td439_rep01_A1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,10,1,71,71.0,10.0,7.1,2.022,pair_sli413_td439_rep01_A1_TD,59.2
pair_sli413_td439_rep01_A2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,5,1,63,63.0,5.0,12.6,2.577,pair_sli413_td439_rep01_A2_TD,59.2
pair_sli413_td439_rep01_A3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,13,1,100,100.0,13.0,7.692,3.988,pair_sli413_td439_rep01_A3_TD,59.2
pair_sli413_td439_rep01_B1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,12,1,49,49.0,12.0,4.083,2.532,pair_sli413_td439_rep01_B1_TD,59.2
pair_sli413_td439_rep01_B2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,11,1,60,60.0,11.0,5.455,2.935,pair_sli413_td439_rep01_B2_TD,59.2
pair_sli413_td439_rep01_B3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,13,1,96,96.0,13.0,7.385,3.991,pair_sli413_td439_rep01_B3_TD,59.2
pair_sli413_td439_rep02_A1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,14,1,82,82.0,14.0,5.857,2.503,pair_sli413_td439_rep02_A1_TD,59.2
pair_sli413_td439_rep02_A2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,13,1,62,62.0,13.0,4.769,1.967,pair_sli413_td439_rep02_A2_TD,59.2
pair_sli413_td439_rep02_A3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,15,1,69,69.0,15.0,4.6,2.091,pair_sli413_td439_rep02_A3_TD,59.2
pair_sli413_td439_rep02_B1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,9,1,74,74.0,9.0,8.222,4.709,pair_sli413_td439_rep02_B1_TD,59.2
pair_sli413_td439_rep02_B2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,10,1,61,61.0,10.0,6.1,2.773,pair_sli413_td439_rep02_B2_TD,59.2
pair_sli413_td439_rep02_B3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,15,1,92,92.0,15.0,6.133,3.180,pair_sli413_td439_rep02_B3_TD,59.2
pair_sli413_td439_rep03_A1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,6,1,41,41.0,6.0,6.833,2.267,pair_sli413_td439_rep03_A1_TD,59.2
pair_sli413_td439_rep03_A2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,11,1,61,61.0,11.0,5.545,3.115,pair_sli413_td439_rep03_A2_TD,59.2
pair_sli413_td439_rep03_A3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,11,1,73,73.0,11.0,6.636,3.650,pair_sli413_td439_rep03_A3_TD,59.2
pair_sli413_td439_rep03_B1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,9,1,81,81.0,9.0,9.0,4.497,pair_sli413_td439_rep03_B1_TD,59.2
pair_sli413_td439_rep03_B2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,11,1,60,60.0,11.0,5.455,2.426,pair_sli413_td439_rep03_B2_TD,59.2
pair_sli413_td439_rep03_B3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,13,1,80,80.0,13.0,6.154,3.919,pair_sli413_td439_rep03_B3_TD,59.2
pair_sli413_td439_rep04_A1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,9,1,72,72.0,9.0,8.0,3.464,pair_sli413_td439_rep04_A1_TD,59.2
pair_sli413_td439_rep04_A2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,8,1,56,56.0,8.0,7.0,2.449,pair_sli413_td439_rep04_A2_TD,59.2
pair_sli413_td439_rep04_A3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,12,1,61,61.0,12.0,5.083,2.178,pair_sli413_td439_rep04_A3_TD,59.2
pair_sli413_td439_rep04_B1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,6,1,60,60.0,6.0,10.0,4.397,pair_sli413_td439_rep04_B1_TD,59.2
pair_sli413_td439_rep04_B2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,19,1,75,75.0,19.0,3.947,2.328,pair_sli413_td439_rep04_B2_TD,59.2
pair_sli413_td439_rep04_B3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,16,1,80,80.0,16.0,5.0,2.574,pair_sli413_td439_rep04_B3_TD,59.2
pair_sli413_td439_rep05_A1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,8,1,73,73.0,8.0,9.125,3.621,pair_sli413_td439_rep05_A1_TD,59.2
pair_sli413_td439_rep05_A2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,8,1,50,50.0,8.0,6.25,1.854,pair_sli413_td439_rep05_A2_TD,59.2
pair_sli413_td439_rep05_A3_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,18,1,97,97.0,18.0,5.389,2.731,pair_sli413_td439_rep05_A3_TD,59.2
pair_sli413_td439_rep05_B1_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,11,1,47,47.0,11.0,4.273,2.562,pair_sli413_td439_rep05_B1_TD,59.2
pair_sli413_td439_rep05_B2_TD.cha,eng,ICL-PILOT,CHI,4;11.06,.,TD,.,.,Target_Child,.,.,15,1,71,71.0,15.0,4.733,1.611,pair_sli413_td439_rep05_B2_TD,59.2
